"female","race","pathway","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"direct","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","All_HD","leg_tot",1031.24000290576,68.2535052446895,1006.27577922884,980.347795591423,1103.35180034549,0.00551804985056987,0.000337545535166548,0.0053958989722376,0.00526545027900676,0.00587447766871541,0.53958989722376,0.526545027900676,0.587447766871541,1.40575426417387,0.0930410532680857,1.37172381172173,1.33637959169824,1.50405482123382
0,1,"direct","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","All_STK","leg_tot",845.778370444012,57.2830106752322,823.169897903549,804.24567289118,906.528269656238,0.018540703127856,0.00125235734627802,0.0181174976001421,0.0175829145026615,0.0198582164516073,1.81174976001421,1.75829145026615,1.98582164516073,1.15293874117328,0.0780864166387304,1.12211957532376,1.09632266099502,1.23575111232363
0,1,"direct","Cancer","dairy_tot",3676.54747747527,413.652464557742,3897.31466102369,3234.24522532903,3931.19762360535,0.0120334837344995,0.00130866375118007,0.0127595578903064,0.0106345881437582,0.012815216292805,1.27595578903064,1.06345881437582,1.2815216292805,5.0117550515259,0.563878160563573,5.31269800252507,4.40882239253643,5.35888620216609
0,1,"direct","Cancer","leg_tot",476.716314143608,73.3188936195909,449.867849906224,422.069249517598,554.184573371394,0.00156133621729819,0.000246082422792745,0.0014661834699116,0.00138149486612977,0.00182205740374521,0.14661834699116,0.138149486612977,0.182205740374521,0.649844836818133,0.0999460329892466,0.613245846300044,0.57535165976319,0.755447155813451
0,1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","All_HD","leg_tot",1154.26267022323,168.486602134738,1172.7806379167,987.05697530497,1305.72809260205,0.00617790003026961,0.000907122731996769,0.00624200010326737,0.00529050605453431,0.00701080894395681,0.624200010326737,0.529050605453431,0.701080894395681,1.57345493393481,0.229675690178515,1.59869805093529,1.34552533659259,1.77992788182663
0,1,"medBMI","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","All_STK","leg_tot",221.387605068915,15.4694886069212,224.824328401873,205.505547776562,234.348447528254,0.00485393128743955,0.000355133268392428,0.00492384595551009,0.00449178054079702,0.00515665456622214,0.492384595551009,0.449178054079702,0.515665456622214,0.301788690299001,0.0210875252244805,0.306473524543676,0.280138764287917,0.319456507202111
0,1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","Cancer","leg_tot",465.328575849275,27.6653362867424,464.337392325275,439.480413485322,492.019244208629,0.00152364907097881,9.46769790597202e-05,0.00151334177188054,0.00143848719617709,0.00161757215001405,0.151334177188054,0.143848719617709,0.161757215001405,0.634321426533964,0.0377125250623604,0.63297027601467,0.599086016385211,0.670705314624116
0,1,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","DIAB","leg_tot",398.943801478468,79.7948980708022,376.532401455957,334.940103292467,481.997189683602,0.0141527568412333,0.00272887122463947,0.0133964366506043,0.0119575493248556,0.0169908365196456,1.33964366506043,1.19575493248555,1.69908365196456,0.543827769009983,0.108773920625924,0.513277246281057,0.456579920406025,0.657043561933529
0,1,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","Other_CVD","leg_tot",208.871048261739,11.1599580202197,214.052472826268,196.96176060483,216.376125038798,0.0050504863245401,0.000277643907739982,0.00518868444611141,0.00475375465595736,0.00522974958978722,0.518868444611141,0.475375465595736,0.522974958978722,0.284726509764029,0.0152129073064662,0.291789666406089,0.268492139627301,0.294957196755007
0,1,"medSBP","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","All_HD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","All_STK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medSBP","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
